pub_time(ms) sub_time(ms) utmX(m) utmY(m) heading(rad) velocity(m/s)
1689585285272 1689585285355 328879.710000 3463457.930000 -2.490149 9.720000
1689585285322 1689585285435 328879.320000 3463457.630000 -2.490149 9.720000
1689585285372 1689585285450 328878.940000 3463457.320000 -2.490149 9.720000
1689585285423 1689585285526 328878.480000 3463456.940000 -2.468332 9.760000
1689585285474 1689585285541 328878.110000 3463456.640000 -2.468332 9.780000
1689585285524 1689585285605 328877.720000 3463456.320000 -2.468332 9.780000
1689585285575 1689585285687 328877.270000 3463455.940000 -2.468332 9.780000
1689585285626 1689585285695 328877.050000 3463455.750000 -2.468332 9.860000
1689585285676 1689585285769 328876.590000 3463455.370000 -2.447606 9.860000
1689585285727 1689585285781 328876.220000 3463455.040000 -2.447606 9.860000
1689585285778 1689585285855 328876.060000 3463454.910000 -2.447606 9.860000
1689585285828 1689585285926 328875.540000 3463454.450000 -2.447606 9.900000
1689585285879 1689585285941 328875.100000 3463454.060000 -2.427535 9.920000
1689585285929 1689585286016 328874.720000 3463453.720000 -2.427535 9.940000
1689585285979 1689585286090 328874.640000 3463453.660000 -2.427535 10.000000
1689585286030 1689585286090 328874.040000 3463453.120000 -2.427535 10.020000
1689585286081 1689585286170 328873.670000 3463452.790000 -2.409863 10.020000
1689585286132 1689585286183 328873.150000 3463452.310000 -2.409863 10.040000
1689585286183 1689585286256 328872.780000 3463451.960000 -2.409863 10.040000
1689585286233 1689585286331 328872.410000 3463451.620000 -2.394155 10.020000
1689585286284 1689585286343 328871.970000 3463451.210000 -2.394155 10.040000
1689585286335 1689585286421 328871.670000 3463450.930000 -2.394155 10.040000
1689585286385 1689585286433 328871.240000 3463450.510000 -2.394155 10.060000
1689585286437 1689585286511 328870.870000 3463450.160000 -2.380411 10.080000
1689585286487 1689585286582 328870.650000 3463449.940000 -2.380411 10.080000
1689585286538 1689585286601 328870.290000 3463449.590000 -2.380411 10.100000
1689585286589 1689585286668 328870.000000 3463449.310000 -2.380411 10.100000
1689585286639 1689585286742 328869.560000 3463448.870000 -2.363612 10.100000
1689585286690 1689585286742 328869.130000 3463448.450000 -2.363612 10.100000
1689585286741 1689585286815 328868.780000 3463448.090000 -2.363612 10.080000
1689585286792 1689585286890 328868.490000 3463447.800000 -2.363612 10.100000
1689585286843 1689585286890 328868.210000 3463447.510000 -2.363612 10.100000
